"Channel 1, ""s""","Channel 1, ""Volts""","Channel 2, ""s""","Channel 2, ""Volts"""
0.0005549999999999999,0.52256,0.0005549999999999999,0.0
0.000556,0.52256,0.000556,0.0
0.000557,0.52256,0.000557,0.0
0.000558,0.51688,0.000558,0.0
0.0005589999999999999,0.52256,0.0005589999999999999,0.0
0.00056,0.52256,0.00056,0.0
0.000561,0.52256,0.000561,0.0
0.000562,0.52256,0.000562,0.0
0.000563,0.52256,0.000563,0.0
0.0005639999999999999,0.52256,0.0005639999999999999,0.0
0.000565,0.52256,0.000565,0.0
0.000566,0.51688,0.000566,0.0
0.000567,0.51688,0.000567,0.0
0.0005679999999999999,0.52256,0.0005679999999999999,0.0
0.000569,0.52256,0.000569,0.0
0.00057,0.51688,0.00057,0.0
0.000571,0.52256,0.000571,0.0
0.000572,0.52256,0.000572,0.0
0.0005729999999999999,0.52256,0.0005729999999999999,-0.0472
0.000574,0.52256,0.000574,0.0
0.000575,0.52256,0.000575,0.0
0.000576,0.52256,0.000576,0.0
0.0005769999999999999,0.52256,0.0005769999999999999,0.0
0.000578,0.51688,0.000578,0.0
0.000579,0.52256,0.000579,0.0
0.00058,0.52256,0.00058,0.0
0.000581,0.52256,0.000581,0.0
0.0005819999999999999,0.51688,0.0005819999999999999,0.0
0.000583,0.52256,0.000583,0.0
0.000584,0.52256,0.000584,0.0
0.000585,0.52256,0.000585,0.0
0.0005859999999999999,0.52256,0.0005859999999999999,0.0
0.000587,0.52256,0.000587,0.0
0.000588,0.52256,0.000588,0.0
0.000589,0.52256,0.000589,0.0
0.0005899999999999999,0.51688,0.0005899999999999999,0.0
0.0005909999999999999,0.52256,0.0005909999999999999,0.0
0.000592,0.52256,0.000592,0.0
0.000593,0.52256,0.000593,0.0
0.000594,0.51688,0.000594,0.0
0.0005949999999999999,0.51688,0.0005949999999999999,0.0
0.000596,0.51688,0.000596,0.0
0.000597,0.51688,0.000597,0.0
0.000598,0.52256,0.000598,0.0
